"ID","Area","COUNTY","EXTERNAL","DISTRICT","SUPER_DIST_25"
2689,1.525569,8,0,239,14
2692,1.524869,8,0,239,14
2700,2.072161,8,0,239,14
2697,2.494061,8,0,239,14
2690,2.594441,8,0,239,14
2699,1.329276,8,0,239,14
2702,1.391913,8,0,239,14
2688,9.224860,8,0,239,14
2694,4.102958,8,0,239,14
2862,0.433746,8,1,0,
2861,0.532397,8,1,0,
2800,1.393437,8,0,247,14
2799,0.978785,8,0,247,14
2791,0.192985,8,0,244,14
2758,2.834302,8,0,245,14
2792,2.034672,8,0,245,14
2759,4.109082,8,0,245,14
2755,3.949505,8,0,245,14
2802,4.373521,8,0,247,14
2804,6.333578,8,0,247,14
2756,7.040459,8,0,245,14
2794,5.202024,8,0,245,14
2754,12.211586,8,0,245,14
2751,5.312833,8,0,242,14
2749,7.786449,8,0,242,14
2793,1.588840,8,0,245,14
2795,0.269125,8,0,245,14
2859,0.488624,8,1,0,
2857,0.468899,8,1,0,
2858,0.374544,8,1,0,
2855,0.222386,8,1,0,
2856,0.473265,8,1,0,
2860,0.332689,8,1,0,
2854,0.433100,8,1,0,
2805,8.051087,8,0,247,14
2809,7.058769,8,0,247,14
2806,5.617876,8,0,247,14
2748,7.714460,8,0,242,14
2803,13.067254,8,0,247,14
2801,8.301151,8,0,247,14
2807,9.963638,8,0,247,14
2852,0.406494,8,1,0,
2853,0.386086,8,1,0,
2750,14.569186,8,0,242,14
2752,11.340246,8,0,242,14
2780,10.161274,8,0,242,14
2775,10.349174,8,0,246,14
2808,7.033385,8,0,247,14
2773,14.765019,8,0,246,14
2788,0.891020,8,0,244,14
2811,15.798269,8,0,247,14
2810,22.513855,8,0,247,14
2797,8.790574,8,0,245,14
2796,5.718736,8,0,245,14
2753,13.169680,8,0,242,14
2698,1.470150,8,0,239,14
2798,8.357294,8,0,245,14
2789,0.820797,8,0,244,14
2746,8.705194,8,0,242,14
2744,11.150383,8,0,242,14
2743,1.655700,8,0,242,14
2745,4.304054,8,0,242,14
2742,7.037896,8,0,241,14
2747,9.713370,8,0,242,14
2741,7.386975,8,0,241,14
2740,11.368058,8,0,241,14
2757,6.247850,8,0,245,14
2739,10.167647,8,0,241,14
2725,4.664435,8,0,243,14
2771,4.024358,8,0,245,14
2723,6.103318,8,0,243,14
2736,1.906229,8,0,243,14
2735,0.900000,8,0,243,14
2738,1.434243,8,0,243,14
2767,8.906430,8,0,245,14
2737,0.682500,8,0,243,14
2770,3.295770,8,0,245,14
2787,0.815927,8,0,244,14
2786,0.549209,8,0,244,14
2790,1.077370,8,0,244,14
2635,0.075098,7,0,238,25
2896,0.352105,7,1,0,
2895,0.637088,7,1,0,
2597,1.125651,7,0,236,25
2684,1.138716,7,0,237,25
2676,1.012817,7,0,237,25
2648,0.127529,7,0,238,25
2639,0.185201,7,0,238,25
2683,1.874101,7,0,237,25
2647,0.061672,7,0,238,25
2646,0.116783,7,0,238,25
2674,0.604667,7,0,237,25
2894,0.615040,7,1,0,
2893,0.746619,7,1,0,
2892,0.649156,7,1,0,
2891,0.640969,7,1,0,
2682,1.722093,7,0,237,25
2596,1.006395,7,0,236,25
2594,9.051613,7,0,236,25
2681,1.888378,7,0,237,25
2595,4.361144,7,0,236,25
2599,7.525308,7,0,236,25
