GEO_ID,TractID,CensusTract,County,State,Census_HH,Census_A0,Census_A1,Census_A2,Census_A3,Census_A4
1400000US26035000600,26035000600,Census Tract 6, Clare County, Michigan,1739,256,629,632,181,41
1400000US26035000700,26035000700,Census Tract 7, Clare County, Michigan,1338,70,366,582,210,110
1400000US26035000800,26035000800,Census Tract 8, Clare County, Michigan,1592,205,380,614,270,123
1400000US26035000900,26035000900,Census Tract 9, Clare County, Michigan,735,44,400,210,57,24
1400000US26035001000,26035001000,Census Tract 10, Clare County, Michigan,1147,88,434,433,137,55
1400000US26035001300,26035001300,Census Tract 13, Clare County, Michigan,1763,215,749,568,176,55
1400000US26037010104,26037010104,Census Tract 101.04, Clinton County, Michigan,1384,57,493,614,157,63
1400000US26037010105,26037010105,Census Tract 101.05, Clinton County, Michigan,1309,9,325,665,232,78
1400000US26037010107,26037010107,Census Tract 101.07, Clinton County, Michigan,1527,17,417,771,238,84
1400000US26037010108,26037010108,Census Tract 101.08, Clinton County, Michigan,1520,19,330,781,221,169
1400000US26037010201,26037010201,Census Tract 102.01, Clinton County, Michigan,967,16,342,448,118,43
1400000US26037010203,26037010203,Census Tract 102.03, Clinton County, Michigan,601,114,236,182,30,39
1400000US26037010204,26037010204,Census Tract 102.04, Clinton County, Michigan,621,18,155,253,112,83
1400000US26037010300,26037010300,Census Tract 103, Clinton County, Michigan,1825,7,448,726,423,221
1400000US26037010400,26037010400,Census Tract 104, Clinton County, Michigan,1883,0,345,824,477,237
1400000US26037010500,26037010500,Census Tract 105, Clinton County, Michigan,1268,11,236,510,309,202
1400000US26037010600,26037010600,Census Tract 106, Clinton County, Michigan,929,27,219,334,192,157
1400000US26037010701,26037010701,Census Tract 107.01, Clinton County, Michigan,815,0,140,368,249,58
1400000US26037010702,26037010702,Census Tract 107.02, Clinton County, Michigan,890,34,274,262,227,93
1400000US26037010801,26037010801,Census Tract 108.01, Clinton County, Michigan,1593,90,635,648,187,33
1400000US26037010802,26037010802,Census Tract 108.02, Clinton County, Michigan,1533,124,542,693,111,63
1400000US26037010901,26037010901,Census Tract 109.01, Clinton County, Michigan,1099,72,377,437,146,67
1400000US26037010902,26037010902,Census Tract 109.02, Clinton County, Michigan,1655,17,229,738,429,242
1400000US26037011001,26037011001,Census Tract 110.01, Clinton County, Michigan,1405,55,412,490,249,199
1400000US26037011002,26037011002,Census Tract 110.02, Clinton County, Michigan,1309,14,250,466,425,154
